brand,model,price,discount,ram_DDR4,ram_DDR5,ram_lpddr4x,bit,windows,ssd(GB),hdd(GB),display,warranty_years,warranty_accidental,processor_amd_quad,processor_amd_octa,processor_amd_hexa,processor_intel
Lenovo,IDEAPAD GAMING 3 RYZEN 7 OCTA CORE AMD R7,70990,37.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,1,0,7,0,0.0
Msi,BRAVO 15 RYZEN 5 HEXA CORE AMD R5,49990,31.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,5,0.0
Asus,CORE I7 11TH GEN,54990,32.0,16.0,0.0,0.0,0.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,7.0
Asus,VIVOBOOK PRO 15 RYZEN 7 OCTA CORE AMD R7,58990,28.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,7,0,0.0
Hp,RYZEN 3 QUAD CORE 5300U,36990,19.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,3,0,0,0.0
Asus,VIVOBOOK S14 OLED,70990,28.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
Hp,RYZEN 5 HEXA CORE 5500U,45123,24.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,5,0.0
Msi,KATANA GF66 CORE I7 11TH GEN,85990,30.0,16.0,0.0,0.0,64.0,10.0,512.0,0.0,15.6,2.0,0,0,0,0,7.0
Hp,14S INTEL CORE I5 12TH GEN,58499,22.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
Asus,VIVOBOOK K15 OLED,64990,24.0,16.0,0.0,0.0,64.0,11.0,256.0,1024.0,15.6,1.0,0,0,0,0,5.0
Hp,PAVILION INTEL CORE I5 12TH GEN,68990,14.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
Hp,G8 RYZEN 3 DUAL CORE AMD RYZEN 3 3250U,28490,29.0,8.0,0.0,0.0,0.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,0.0
Asus,TUF DASH F15,76990,25.0,0.0,8.0,0.0,0.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Lenovo,IDEAPAD 3 CORE I3 11TH GEN,36490,40.0,8.0,0.0,0.0,64.0,11.0,256.0,0.0,14.0,2.0,0,0,0,0,3.0
Asus,VIVOBOOK 14,53990,23.0,8.0,0.0,0.0,0.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
